name,description,price,stock_quantity,category_name,origin_country,flavor_name,created_at,updated_at
Mystic Chai,Item away respond. Law subject control far. Media together ago us former information.,435.06,3,Spices,Brazil,Spicy,2024-02-14 13:40:23.141807,2024-11-06 09:15:31.433466
Velvet Jasmine,"Arrive economy town may. Eye turn imagine couple.
Second actually him commercial happy hundred fear a. Century language stand start defense bad instead.",315.89,8,Coffee,India,Floral,2024-08-17 10:16:18.910249,2024-10-13 12:43:09.765287
Saffron Sun,"Lead manager some picture PM. Imagine she on move machine discuss main road.
Though anyone per shake statement rise. Friend then wall general south right charge.",371.56,9,Spices,Kenya,Floral,2024-11-08 06:32:34.318228,2024-07-02 06:51:52.071230
Mocha Blossom,"Sit receive indeed let response. Night owner yet help care when resource policy.
Big win listen chair hit bit forward coach. Point door factor cause choose threat.",453.19,18,Tea,China,Earthy,2024-01-19 04:14:31.829627,2024-04-19 07:54:46.230861
Cinnamon Whisper,"Mind pressure citizen strategy him. Honeyberry Spice talk must relate statement. Society natural tell in.
Human coach would loss but. Lavender Harmony team them anything. Lemon Harmony measure address a throughout.",143.07,55,Coffee,China,Fruity,2024-07-30 05:27:49.871808,2024-11-11 21:22:56.940188
Persian Gold,"Few trial do people degree director article study.
Herbal Frost girl most reduce take full employee believe. Position system use recently.
Tropical Spice over prevent increase right short travel.",40.88,87,Coffee,China,Spicy,2024-10-20 05:17:04.775304,2024-07-31 05:32:43.996498
Himalayan Frost,"Me green history film. Each not before house rise specific.
Sometimes thus participant ready spring week avoid. View I surface line.",88.09,99,Coffee,Kenya,Spicy,2024-05-31 10:05:29.326822,2024-06-04 00:47:42.009670
Golden Clove,"Recognize thank deep behind focus major. Focus test hotel together move. Republican fast month and trip recently.
Trip democratic show tough.",357.22,43,Spices,Kenya,Spicy,2024-11-18 11:25:55.557553,2024-07-16 18:00:34.486310
Arabica Ember,"Ruby Frost tax total court.
Whole music approach control major yet. Soon read discover feeling military reach. Citrus Spice relationship design area have professional write.",254.51,58,Coffee,China,Earthy,2024-12-04 14:19:24.699942,2024-09-02 12:39:08.674469
Ruby Rooibos,"A voice able hospital miss. Cover single any local throw key economic before.
Person begin over pick hear authority. Cocoa Gold anyone company whom. Site break day market.",349.19,19,Tea,Kenya,Spicy,2024-08-21 22:49:12.062314,2024-08-28 10:16:36.715471
Lavender Breeze,American service me best show heavy. Talk leg take local.,146.75,5,Coffee,China,Floral,2024-04-14 17:56:29.301997,2024-01-07 12:06:11.922742
